rating_score,critic_likes,critic_comments,movie_release_year,movie_popularity,total_number_of_lists,total_list_comments,total_list_followers,total_list_movie_number,avg_list_comments,avg_list_followers,avg_list_movie_number
4.0,0,0,2008.0,77.0,23,11,189,2678,0.4782608695652174,8.217391304347826,116.43478260869566
4.0,0,0,2008.0,77.0,4,0,7,262,0.0,1.75,65.5
5.0,0,0,2008.0,77.0,4,9,416,1274,2.25,104.0,318.5
4.0,0,0,2008.0,77.0,24,7,3,472,0.2916666666666667,0.125,19.666666666666668
4.0,0,0,2008.0,77.0,33,18,512,1574,0.5454545454545454,15.515151515151516,47.696969696969695
4.0,0,0,2008.0,77.0,1,0,5,25,0.0,5.0,25.0
5.0,0,0,2008.0,77.0,1,1,1,2,1.0,1.0,2.0
3.0,0,0,2008.0,77.0,5,6,99,259,1.2,19.8,51.8
4.0,0,0,2008.0,77.0,6,2,9,70,0.3333333333333333,1.5,11.666666666666666
3.0,0,0,2008.0,77.0,7,1,13,778,0.14285714285714285,1.8571428571428572,111.14285714285714
3.0,0,0,2008.0,77.0,70,32,553,3793,0.45714285714285713,7.9,54.18571428571428
4.0,0,0,2008.0,77.0,14,2,119,607,0.14285714285714285,8.5,43.357142857142854
3.0,0,0,2008.0,77.0,23,95,1079,3005,4.130434782608695,46.91304347826087,130.65217391304347
3.0,0,0,2008.0,77.0,2,0,0,6,0.0,0.0,3.0
3.0,0,0,2008.0,77.0,16,0,64,816,0.0,4.0,51.0
4.0,0,0,2008.0,77.0,2,1,0,33,0.5,0.0,16.5
5.0,2,0,2008.0,77.0,3,0,3,101,0.0,1.0,33.666666666666664
3.0,0,0,2008.0,77.0,3,4,32,617,1.3333333333333333,10.666666666666666,205.66666666666666
4.0,0,0,2008.0,77.0,8,5,9,463,0.625,1.125,57.875
4.0,1,0,2008.0,77.0,8,1,3,200,0.125,0.375,25.0
4.0,0,0,2008.0,77.0,9,3,6,74,0.3333333333333333,0.6666666666666666,8.222222222222221
5.0,0,0,2008.0,77.0,2,0,9,29,0.0,4.5,14.5
2.0,0,0,2008.0,77.0,3,1,6,112,0.3333333333333333,2.0,37.333333333333336
4.0,0,0,2008.0,77.0,1,9,509,132,9.0,509.0,132.0
3.0,0,0,2008.0,77.0,8,0,5,85,0.0,0.625,10.625
4.0,0,0,2008.0,77.0,8,5,8,1087,0.625,1.0,135.875
4.0,0,0,2008.0,77.0,1,0,0,11,0.0,0.0,11.0
2.0,0,0,2008.0,77.0,4,7,54,85,1.75,13.5,21.25
3.0,0,0,2008.0,77.0,2,0,0,45,0.0,0.0,22.5
4.0,0,0,2008.0,77.0,69,30,1603,17689,0.43478260869565216,23.231884057971016,256.3623188405797
4.0,0,0,2008.0,77.0,9,2,14,174,0.2222222222222222,1.5555555555555556,19.333333333333332
3.0,0,0,2008.0,77.0,5,28,97,198,5.6,19.4,39.6
4.0,0,0,2008.0,77.0,1,2,1,10,2.0,1.0,10.0
5.0,0,0,2008.0,77.0,3,9,2,26,3.0,0.6666666666666666,8.666666666666666
2.0,0,0,2008.0,77.0,1,0,0,37,0.0,0.0,37.0
1.0,0,0,2008.0,77.0,1,0,0,16,0.0,0.0,16.0
4.0,0,0,2008.0,77.0,7,0,2,215,0.0,0.2857142857142857,30.714285714285715
5.0,0,0,2008.0,77.0,31,3,18,691,0.0967741935483871,0.5806451612903226,22.29032258064516
2.0,0,0,2008.0,77.0,22,22,116,1702,1.0,5.2727272727272725,77.36363636363636
2.0,0,0,2008.0,77.0,1,0,0,1,0.0,0.0,1.0
4.0,0,0,2008.0,77.0,1,0,0,3,0.0,0.0,3.0
1.0,0,0,2008.0,77.0,4,2,4,77,0.5,1.0,19.25
4.0,0,0,2008.0,77.0,21,63,687,1899,3.0,32.714285714285715,90.42857142857143
3.0,0,0,2008.0,77.0,2,0,0,20,0.0,0.0,10.0
5.0,0,0,2008.0,77.0,11,9,56,364,0.8181818181818182,5.090909090909091,33.09090909090909
3.0,0,0,2008.0,77.0,1,0,0,2,0.0,0.0,2.0
3.0,0,0,2008.0,77.0,3,161,4144,1586,53.666666666666664,1381.3333333333333,528.6666666666666
3.0,0,0,2008.0,77.0,23,66,552,1665,2.869565217391304,24.0,72.3913043478261
4.0,0,0,2008.0,77.0,2,0,1,209,0.0,0.5,104.5
5.0,0,0,2008.0,77.0,4,2,1,210,0.5,0.25,52.5
3.0,0,0,2008.0,77.0,1,4,0,21,4.0,0.0,21.0
3.0,0,0,2008.0,77.0,43,12,57,1205,0.27906976744186046,1.3255813953488371,28.023255813953487
4.0,0,0,2008.0,77.0,1,0,0,1,0.0,0.0,1.0
2.0,0,0,2006.0,3.0,1,0,0,0,0.0,0.0,0.0
3.0,0,0,2006.0,3.0,18,257,1722,606,14.277777777777779,95.66666666666667,33.666666666666664
3.0,0,0,2006.0,3.0,1,2,2,9,2.0,2.0,9.0
3.0,0,0,2006.0,3.0,58,332,2896,19197,5.724137931034483,49.93103448275862,330.98275862068965
2.0,0,0,1949.0,3.0,32,19,79,461,0.59375,2.46875,14.40625
4.0,0,0,1949.0,3.0,3,0,11,317,0.0,3.6666666666666665,105.66666666666667
3.0,0,0,1949.0,3.0,1,0,0,4,0.0,0.0,4.0
2.0,0,0,1949.0,3.0,4,0,24,4728,0.0,6.0,1182.0
3.0,0,0,1949.0,3.0,22,22,116,1702,1.0,5.2727272727272725,77.36363636363636
4.0,0,0,1949.0,3.0,4,0,2,4,0.0,0.5,1.0
2.0,4,0,1949.0,3.0,3,0,3,101,0.0,1.0,33.666666666666664
4.0,0,0,1949.0,3.0,69,30,1603,17689,0.43478260869565216,23.231884057971016,256.3623188405797
5.0,0,0,1949.0,3.0,2,1,0,48,0.5,0.0,24.0
3.0,0,0,1949.0,3.0,1,0,25,51,0.0,25.0,51.0
4.0,0,0,1944.0,12.0,5,7,56,245,1.4,11.2,49.0
1.0,0,0,1944.0,12.0,1,0,0,5,0.0,0.0,5.0
5.0,1,0,1944.0,12.0,1,0,0,1,0.0,0.0,1.0
5.0,6,0,1944.0,12.0,57,68,1632,14542,1.1929824561403508,28.63157894736842,255.12280701754386
3.0,0,0,1944.0,12.0,1,0,0,21,0.0,0.0,21.0
3.0,0,0,1944.0,12.0,49,0,11,3237,0.0,0.22448979591836735,66.06122448979592
4.0,0,0,1944.0,12.0,9,4,28,1380,0.4444444444444444,3.111111111111111,153.33333333333334
4.0,0,0,1944.0,12.0,32,19,79,461,0.59375,2.46875,14.40625
4.0,0,0,1944.0,12.0,1,0,0,16,0.0,0.0,16.0
5.0,0,0,1944.0,12.0,18,3,21,1021,0.16666666666666666,1.1666666666666667,56.72222222222222
4.0,0,0,1944.0,12.0,2,1,1,10,0.5,0.5,5.0
3.0,0,0,1944.0,12.0,5,1,3,246,0.2,0.6,49.2
4.0,0,0,1944.0,12.0,2,0,0,130,0.0,0.0,65.0
4.0,0,0,1944.0,12.0,3,7,98,127,2.3333333333333335,32.666666666666664,42.333333333333336
4.0,1,0,1944.0,12.0,1,16,36,41,16.0,36.0,41.0
2.0,0,0,1944.0,12.0,330,3438,46415,34805,10.418181818181818,140.65151515151516,105.46969696969697
5.0,0,0,1944.0,12.0,19,8,109,2911,0.42105263157894735,5.7368421052631575,153.21052631578948
4.0,0,0,1944.0,12.0,15,32,450,887,2.1333333333333333,30.0,59.13333333333333
3.0,0,0,1944.0,12.0,113,192,1833,8179,1.6991150442477876,16.221238938053098,72.38053097345133
3.0,0,0,1944.0,12.0,15,12,42,3173,0.8,2.8,211.53333333333333
3.0,0,0,1944.0,12.0,2,0,5,253,0.0,2.5,126.5
5.0,0,0,1968.0,35.0,5,0,0,895,0.0,0.0,179.0
4.0,0,0,1968.0,35.0,3,0,1,144,0.0,0.3333333333333333,48.0
4.0,0,0,1968.0,35.0,5,0,2,553,0.0,0.4,110.6
4.0,0,0,1968.0,35.0,3,0,0,18,0.0,0.0,6.0
4.0,0,0,1968.0,35.0,17,2,75,3213,0.11764705882352941,4.411764705882353,189.0
4.0,0,0,1968.0,35.0,2,1,94,356,0.5,47.0,178.0
3.0,0,0,1968.0,35.0,15,0,2,3208,0.0,0.13333333333333333,213.86666666666667
4.0,0,0,1968.0,35.0,23,35,463,2839,1.5217391304347827,20.130434782608695,123.43478260869566
4.0,0,0,1968.0,35.0,1,14,50,534,14.0,50.0,534.0
5.0,0,0,1968.0,35.0,2,0,0,94,0.0,0.0,47.0
3.0,0,0,1968.0,35.0,23,285,96,589,12.391304347826088,4.173913043478261,25.608695652173914
4.0,0,0,1968.0,35.0,36,15,46,726,0.4166666666666667,1.2777777777777777,20.166666666666668
3.0,0,0,1968.0,35.0,1,0,0,63,0.0,0.0,63.0
5.0,1,0,1968.0,35.0,32,13,299,1152,0.40625,9.34375,36.0
3.0,0,0,1968.0,35.0,7,16,126,1298,2.2857142857142856,18.0,185.42857142857142
4.0,0,0,1968.0,35.0,1,0,0,43,0.0,0.0,43.0
4.0,0,0,1968.0,35.0,4,0,24,4728,0.0,6.0,1182.0
4.0,0,0,1968.0,35.0,1,0,0,25,0.0,0.0,25.0
5.0,0,0,1968.0,35.0,1,0,6,365,0.0,6.0,365.0
4.0,0,0,1968.0,35.0,1,3,21,55,3.0,21.0,55.0
4.0,0,0,1968.0,35.0,5,0,0,84,0.0,0.0,16.8
4.0,0,0,1968.0,35.0,5,0,1,354,0.0,0.2,70.8
4.0,0,0,1968.0,35.0,2,1,0,170,0.5,0.0,85.0
3.0,0,0,1968.0,35.0,5,1,303,419,0.2,60.6,83.8
5.0,0,0,1968.0,35.0,3,0,1,238,0.0,0.3333333333333333,79.33333333333333
3.0,0,0,1968.0,35.0,16,4,204,5052,0.25,12.75,315.75
3.0,0,0,1968.0,35.0,3,9,302,291,3.0,100.66666666666667,97.0
5.0,0,0,1968.0,35.0,1,0,2,150,0.0,2.0,150.0
4.0,0,0,1968.0,35.0,18,81,567,4746,4.5,31.5,263.6666666666667
4.0,0,0,1968.0,35.0,3,0,3,190,0.0,1.0,63.333333333333336
5.0,0,0,1968.0,35.0,6,5,47,606,0.8333333333333334,7.833333333333333,101.0
